studentId,name,learningStyle,shannonEntropy,louvainCommunity,betweenness,lovedTopicIds,dislikedTopicIds
S0007,Mesude Bilge,Reading/Writing,0.0,3,0.0011770121429743,['TRK039'],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0012,Canur Arslan Hayrioğlu,Kinaesthetic,0.0,1,0.0005502831498294,['GEO030'],"['LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0019,Akise Kandef Yılmaz Akgündüz,Audio,0.0,3,0.0006342864506323,['HIS022'],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010']"
S0039,Okyalaz Eraslan,Kinaesthetic,0.0,4,0.0007252116305862,['PHY001'],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0175,Atasagun Öcalan,Audio,0.0,3,0.000802675379524,['TRK038'],[]
S0186,Akboğa Yüksel,Kinaesthetic,0.9182958340544894,0,0.0026566688561917,"['GEO030', 'CHM012']","['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0189,Irıs Sadeti Şensoy Dumanlı,Kinaesthetic,0.9182958340544894,0,0.0027954355008133,[],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0242,Hacile Gülçe Gülen,Reading/Writing,1.0,0,0.0025354038632345,"['GEO027', 'CHM013']","['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0118,Güldam Misra Şener,Reading/Writing,1.0,3,0.0012231757409411,"['TRK038', 'TRK037']","['GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030']"
S0108,Koşukhan Uçan Zorlu,Reading/Writing,1.0,4,0.003812723925324,"['HIS023', 'BIO006']",[]
S0016,Özyurt Nezize Gülen,Audio,1.0,4,0.0018950971296064,['GEO027'],"['LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0052,Yağın Zengin,Reading/Writing,1.0,2,0.0012148770006052,"['LIT034', 'LIT033']",[]
S0092,Bay Batırhan Sezgin,Reading/Writing,1.0,1,0.0027010534312375,['MAT020'],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030']"
S0049,Kibar Danış Hançer Kısakürek,Reading/Writing,1.0,1,0.0009137666469843,"['MAT018', 'MAT019']","['GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0247,Muratcan Haluk Gülen Aslan,Visual,1.5,0,0.0005873764520893,"['CHM013', 'CHM014', 'CHM015']","['MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0076,Rezin Nüdret Aslan,Audio,1.5,4,0.0027160023463191,"['PHY001', 'PHY005']",[]
S0205,Remazan Duran,Audio,1.5,1,0.0012827521450583,[],[]
S0223,İlper Akçay Çamurcuoğlu,Visual,1.5,4,0.0024773329686152,['GEO028'],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0225,Gözel Ülker,Visual,1.5,1,0.0033204995692745,['HIS021'],[]
S0038,Aysoy Bilgin,Mixed,1.5,2,0.0046498475539311,"['LIT033', 'TRK040']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015']"
S0014,Nazimet Şensoy,Visual,1.5,0,0.0023910641416237,[],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005']"
S0217,Orçin Mansız,Audio,1.5219280948873626,4,0.0008732160609846,"['PHY003', 'PHY002']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0045,Bilgen Hançer,Kinaesthetic,1.5219280948873626,4,0.0008641405883183,"['BIO008', 'BIO007', 'BIO006']","['CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0246,Evrim Nüdret Karadeniz,Kinaesthetic,1.5219280948873626,4,0.0008732160609846,"['PHY003', 'PHY005', 'PHY002']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0131,Kayıt Altoğan Bilge,Visual,1.5219280948873626,3,0.0035480509095316,"['TRK040', 'PHY002']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0204,Bilginur Akça Akdeniz,Kinaesthetic,1.584962500721156,0,0.0021854235702107,"['CHM013', 'PHY002']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0229,Karanbay Zorlu,Visual,1.584962500721156,1,0.0049720887356139,"['MAT019', 'CHM012']","['GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030']"
S0176,Yahşikan Özinal Bilgin Yıldırım,Visual,1.584962500721156,1,0.0027629972177013,"['MAT017', 'MAT018']","['LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0238,Mahir Öcalan,Reading/Writing,1.584962500721156,3,0.0044504979895742,['TRK040'],"['CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025']"
S0208,Yurdaser Alemdar İhsanoğlu,Audio,1.584962500721156,0,0.0047762445164192,['CHM013'],[]
S0125,Feryas Asu Ertaş Kısakürek,Kinaesthetic,1.584962500721156,4,0.004233222312505,"['PHY004', 'BIO006', 'HIS025']","['CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0009,Gülder Çorlu Akdeniz,Reading/Writing,1.584962500721156,0,0.0033303808270231,[],"['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0103,Göknur Sezer,Audio,1.584962500721156,4,0.0046358309788279,"['HIS023', 'PHY003', 'GEO030']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0082,Sağcan Yorulmaz,Visual,1.584962500721156,3,0.0033566959352322,"['TRK037', 'HIS023']","['BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0053,Sidar Mansız,Visual,1.584962500721156,0,0.0032087164501113,"['MAT016', 'PHY004']","['LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0244,Songurkan Durmuş,Mixed,1.9182958340544896,1,0.0047683773198351,[],"['LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0228,Abdulbekir Nehip Aslan,Kinaesthetic,1.9182958340544896,1,0.0027562349663724,[],"['CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025']"
S0193,Refik Bilir,Audio,1.9182958340544896,3,0.0034979190125405,"['TRK039', 'MAT016']","['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0061,Gücal Aliihsan Mansız,Mixed,1.9182958340544896,0,0.0034913076230468,"['CHM013', 'CHM015', 'PHY003']","['MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0050,Azize Sezen Ergül Aslan,Reading/Writing,1.9182958340544896,2,0.0047600236763922,"['HIS025', 'HIS021', 'LIT033']","['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'MAT016', 'MAT017', 'MAT018', 'MAT019', 'MAT020', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0212,Kalgay Hüryaşar Demirel,Mixed,1.9182958340544896,1,0.0020804794945449,"['HIS021', 'GEO026', 'GEO030']","['CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'TRK036', 'TRK037', 'TRK038', 'TRK039', 'TRK040']"
S0216,Hasbek Yılmaz,Audio,1.9182958340544896,2,0.0036757438895218,['TRK036'],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025']"
S0155,Altınkaya Akar,Mixed,1.9219280948873625,3,0.0025948456070356,['TRK037'],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'CHM011', 'CHM012', 'CHM013', 'CHM014', 'CHM015', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0002,Şeref Henife Akgündüz,Visual,1.9219280948873625,0,0.0048189337545112,[],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'GEO026', 'GEO027', 'GEO028', 'GEO029', 'GEO030', 'LIT031', 'LIT032', 'LIT033', 'LIT034', 'LIT035']"
S0034,Zeride Sezer,Kinaesthetic,1.9219280948873625,2,0.0019606160569635,['LIT031'],"['PHY001', 'PHY002', 'PHY003', 'PHY004', 'PHY005', 'BIO006', 'BIO007', 'BIO008', 'BIO009', 'BIO010', 'HIS021', 'HIS022', 'HIS023', 'HIS024', 'HIS025']"
