studentId,name,learningStyle,lovedTopicIds,dislikedTopicIds,socialEngagementScore
S0001,Tuğtaş Bilgin,Visual,"[""HIS024""]","[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020""]",0.3536766572335659
S0002,Şeref Henife Akgündüz,Visual,[],"[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.2485580660782393
S0003,Bilender Emirşan Türk,Visual,[],"[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.4159590873381714
S0004,Niğmet Safura Hançer,Kinaesthetic,"[""LIT035"", ""BIO008"", ""LIT034"", ""BIO007"", ""BIO006"", ""BIO010"", ""BIO009""]","[""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020""]",0.15996757580999188
S0005,Sakip Sarıcabay Manço,Mixed,"[""TRK038"", ""TRK036"", ""TRK037"", ""TRK040""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.5502830780616322
S0006,Bayan Semat Ayhan Bilgin Ertaş,Mixed,"[""BIO008"", ""BIO009"", ""BIO007"", ""BIO006""]","[""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.11094528759339801
S0007,Mesude Bilge,Reading/Writing,"[""TRK039""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.5098966417920571
S0008,Esengün Ülker Yaman,Reading/Writing,"[""HIS021"", ""PHY004"", ""HIS024"", ""PHY005"", ""PHY003"", ""PHY002"", ""PHY001"", ""HIS025"", ""HIS023"", ""HIS022""]","[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.17727037947274454
S0009,Gülder Çorlu Akdeniz,Reading/Writing,[],"[""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030"", ""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.19829047191334445
S0010,Tandoğdu Şensoy,Kinaesthetic,"[""LIT031"", ""LIT034"", ""BIO010"", ""LIT032"", ""BIO007"", ""BIO008"", ""BIO009"", ""LIT035"", ""LIT033""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005""]",0.37623678821354994
S0011,Akınal Şener,Visual,"[""LIT034"", ""BIO007"", ""LIT033"", ""LIT031"", ""TRK036""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025"", ""GEO026"", ""GEO027"", ""GEO028"", ""GEO029"", ""GEO030""]",0.5434668040445325
S0012,Canur Arslan Hayrioğlu,Kinaesthetic,"[""GEO030""]","[""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035""]",0.08476376294265023
S0013,Soykan Sezer,Mixed,"[""MAT020"", ""GEO027"", ""MAT017"", ""GEO028"", ""MAT016"", ""GEO026"", ""MAT018"", ""GEO029""]",[],0.3579287927839609
S0014,Nazimet Şensoy,Visual,[],"[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005""]",0.2733207739503824
S0015,Lutfi Öztek Manço,Reading/Writing,"[""GEO027"", ""TRK039"", ""LIT033"", ""LIT035"", ""LIT032"", ""GEO030"", ""GEO026"", ""LIT031"", ""TRK040"", ""GEO029"", ""TRK038""]","[""PHY001"", ""PHY002"", ""PHY003"", ""PHY004"", ""PHY005"", ""BIO006"", ""BIO007"", ""BIO008"", ""BIO009"", ""BIO010"", ""CHM011"", ""CHM012"", ""CHM013"", ""CHM014"", ""CHM015"", ""MAT016"", ""MAT017"", ""MAT018"", ""MAT019"", ""MAT020"", ""HIS021"", ""HIS022"", ""HIS023"", ""HIS024"", ""HIS025""]",0.13437614109485027
S0016,Özyurt Nezize Gülen,Audio,"[""GEO027""]","[""LIT031"", ""LIT032"", ""LIT033"", ""LIT034"", ""LIT035"", ""TRK036"", ""TRK037"", ""TRK038"", ""TRK039"", ""TRK040""]",0.35325485000480755
